zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
54613,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54921,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54982,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53920,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54970,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53934,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53910,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53952,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54984,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53955,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54494,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53590,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54943,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53901,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53926,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53925,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53594,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54981,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53916,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53946,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53936,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54923,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53923,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53956,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53913,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54976,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
31620,123,City of Adel- (GA),GA,Bundled,Municipal,0.12713012858133704,0.06078681940577792,0.14110363027370845
31647,123,City of Adel- (GA),GA,Bundled,Municipal,0.12713012858133704,0.06078681940577792,0.14110363027370845
56244,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56248,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56276,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56262,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56208,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56231,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56271,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56221,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
56252,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.084984681114203,0.08770879265449069,0.12505922611213477
